Curso;Unidade Curricular;Turno;Turma;Inscritos no turno;Dia da semana;Hora início da aula;Hora fim da aula;Data da aula;Sala atribuída à aula;Lotação da sala
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;10/03/2023;C6.07,;30; DIAMTP01;SEX
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;13:00:00;13:00:00;09/05/2023;C4.06,;30; PISIDPL03;TER
null;Engenharia de Software;null;0;13:00:00;13:00:00;20/03/2023;Auditório;30; EngST01;SEG
null;Arquitetura de Redes;null;0;14:30:00;14:30:00;22/09/2022;C5.01,;30; 03708TP20;QUI
null;Processamento de Informação;null;0;16:00:00;16:00:00;30/11/2022;Auditório;30; L0779T01;QUA
null;Agentes Autónomos;null;0;13:00:00;13:00:00;28/11/2022;Auditório;30; 03727T02;SEG
null;Interacção Pessoa-Máquina;null;0;14:30:00;14:30:00;13/04/2023;C5.07,;30; L5316TP05;QUI
null;Programação Concorrente e Distribuída;null;0;14:30:00;14:30:00;29/11/2022;0S01,;30; L5096TP04;TER
null;Agentes Autónomos;null;0;14:30:00;14:30:00;30/11/2022;0S02,;30; 03727PL06;QUA
null;Engenharia de Software;null;0;16:00:00;16:00:00;29/03/2023;D1.09,;30; EngSTP02;QUA
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;09/05/2023;C6.07,;30; DIAMTP01;TER
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;09/02/2023;0S08,;30; DIAMTP01;QUI
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;16/03/2023;D1.05,;30; DIAMTP01;QUI
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;03/03/2023;C6.07,;30; DIAMTP01;SEX
null;Programação Concorrente e Distribuída;null;0;16:00:00;16:00:00;28/11/2022;Auditório;30; L5096T03;SEG
null;Processamento de Informação;null;0;14:30:00;14:30:00;11/11/2022;Auditório;30; L0779TP02;SEX
null;Sistemas de Data Warehouse e Business Intelligence;null;0;09:30:00;09:30:00;29/11/2022;C6.08,;30; 03744;TER
null;Engenharia de Software;null;0;13:00:00;13:00:00;27/03/2023;Auditório;30; EngST01;SEG
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;06/03/2023;Auditório;30; PISIDT01;SEG
null;Engenharia de Software;null;0;16:00:00;16:00:00;13/02/2023;C6.10,;30; EngST01;SEG
null;Arquitetura de Redes;null;0;13:00:00;13:00:00;21/09/2022;C5.06,;30; 03708TP20;QUA
